unique_id,hurst_dim_0,series_length_dim_0,unitroot_pp_dim_0,unitroot_kpss_dim_0,hw_alpha_dim_0,hw_beta_dim_0,hw_gamma_dim_0,stability_dim_0,nperiods_dim_0,seasonal_period_dim_0,trend_dim_0,spike_dim_0,linearity_dim_0,curvature_dim_0,e_acf1_dim_0,e_acf10_dim_0,x_pacf5_dim_0,diff1x_pacf5_dim_0,diff2x_pacf5_dim_0,nonlinearity_dim_0,lumpiness_dim_0,alpha_dim_0,beta_dim_0,arch_acf_dim_0,garch_acf_dim_0,arch_r2_dim_0,garch_r2_dim_0,flat_spots_dim_0,entropy_dim_0,crossing_points_dim_0,arch_lm_dim_0,x_acf1_dim_0,x_acf10_dim_0,diff1_acf1_dim_0,diff1_acf10_dim_0,diff2_acf1_dim_0,diff2_acf10_dim_0
37,0.0,84.0,-54.765156,1.0326426,0.0,0.0,0.0,0.27994922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23786066,0.4877483,0.7773352,1.7607101,1.0485187,0.122703545,0.0,0.0,0.0,0.0,0.0,66.0,0.87124085,11.0,0.9006561,0.32100978,0.6228655,-0.38051164,0.33375606,-0.59279424,0.68416226
38,0.0,84.0,32.357323,0.9206423,0.0,0.0,0.0,0.10857929,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28535613,0.09349356,0.20291758,0.69084805,0.045894057,0.3533141,0.3533141,0.0,0.0,0.0,0.0,70.0,0.88686275,13.0,0.9867652,0.39352533,0.6311162,-0.10915781,0.11091782,-0.39304113,0.33494592
39,0.0,84.0,-83.19382,0.169794,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008194426,0.4913889,1.0471882,0.0,8.82,1.4901161e-08,9.056771e-10,0.0,0.0,0.0,0.0,65.0,0.9927801,2.0,0.0028169013,-0.012191623,0.0016495989,-0.5,0.25,-0.6666667,0.4722222
40,0.0,84.0,-54.36599,0.47991842,0.0,0.0,0.0,0.15882716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11895547,0.27120668,0.7570909,0.0,3.758454,1.4901163e-08,1.4980273e-09,0.0,0.0,0.0,0.0,68.0,0.90453917,4.0,0.6582006,0.30820104,0.20929818,-0.25,0.25,-0.5,0.41
41,0.0,84.0,-1.2101204,1.3949337,0.0,0.0,0.0,0.49184576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91457,0.39536107,0.93780524,1.4680792,0.107985124,0.4437113,0.060730882,0.0,0.0,0.0,0.0,58.0,0.5962898,5.0,0.95587426,0.8222961,3.1204822,-0.5140906,0.8284734,-0.74336606,1.3527623
42,0.0,84.0,-79.89962,0.9822974,0.0,0.0,0.0,0.10678404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836903,0.8521244,0.8266058,0.1643887,0.2218049,0.16597502,0.16597502,0.0,0.0,0.0,0.0,58.0,0.87894946,35.0,0.9650802,0.19514138,0.56854707,-0.70099944,0.69714457,-0.72771466,0.7550509
43,0.0,84.0,-6.7580886,1.1825981,0.0,0.0,0.0,0.46383962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886875,0.5593571,0.7332985,3.9317486,0.10454406,0.19395232,0.19395232,0.0,0.0,0.0,0.0,67.0,0.6535458,11.0,0.93173784,0.65484244,2.688648,-0.44757852,0.5994735,-0.55854523,0.87430465
44,0.0,84.0,-45.47426,1.3655013,0.0,0.0,0.0,0.4702708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136876,0.80423224,1.1169189,1.3990163,0.8321478,0.1380312,0.1380312,0.0,0.0,0.0,0.0,36.0,0.7416359,21.0,0.7752156,0.4536879,1.784471,-0.576733,0.60157186,-0.69679457,0.88730294
45,0.0,84.0,-86.65933,0.531589,0.0,0.0,0.0,0.12698038,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10125053,0.544519,0.7829418,0.0020679529,6.834332,0.06994539,0.06994539,0.0,0.0,0.0,0.0,75.0,0.9612692,5.0,0.9994924,-0.019020008,0.098337375,-0.47465968,0.33267313,-0.6284569,0.4949572
46,0.0,84.0,-75.9723,0.99184537,0.0,0.0,0.0,0.2599574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38913748,0.9690988,1.2481469,0.37021688,1.8773447,0.12356535,0.12356535,0.0,0.0,0.0,0.0,70.0,0.0,19.0,0.92977184,0.189427,0.68396205,-0.57022256,0.50690836,-0.69396883,0.74626756
47,0.0,84.0,-71.03909,0.96141154,0.0,0.0,0.0,0.29667807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47482365,0.72943133,0.8376296,0.5019029,2.7714624,0.12303641,0.12303641,0.0,0.0,0.0,0.0,67.0,0.813651,8.0,0.9922948,0.24929862,0.8692972,-0.44315788,1.2636276,-0.49967313,1.3354462
48,0.0,84.0,-48.44254,0.84432226,0.0,0.0,0.0,0.2633332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268388,0.39850345,0.4161464,0.8261412,2.2413225,0.16624214,0.16624214,0.0,0.0,0.0,0.0,71.0,0.8402575,5.0,0.99998987,0.31654334,0.71933645,-0.3167387,0.3632789,-0.4323526,0.31296954
49,0.0,84.0,-54.567505,0.5294383,0.0,0.0,0.0,0.2483174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282252,0.3189375,0.82967395,13.288534,6.175136,0.073661625,3.2582317e-15,0.0,0.0,0.0,0.0,77.0,0.95141375,8.0,0.99999624,0.31973267,0.14522697,-0.30008426,0.15730157,-0.52707314,0.29443032
50,0.0,84.0,-83.97651,0.7869136,0.0,0.0,0.0,0.14345679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10418756,0.63345677,1.1257688,0.0,3.2521245,0.067699485,0.067699485,0.0,0.0,0.0,0.0,70.0,0.90461653,6.0,0.6580362,-0.037477955,0.21675567,-0.5,0.6111111,-0.6666667,0.93209875
51,0.0,84.0,-88.40389,0.6204452,0.0,0.0,0.0,0.048003733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03150816,0.5194716,0.8317127,0.0013051896,1.4905193,1.6261906e-08,3.1725813e-09,0.0,0.0,0.0,0.0,54.0,0.0,7.0,0.017882977,-0.037846483,0.036603365,-0.4739924,0.24659035,-0.6183216,0.39195988
52,0.0,84.0,-84.488945,1.0384971,0.0,0.0,0.0,0.18198556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21911547,0.6599124,0.90454537,0.030853523,2.5268917,0.09949817,0.09949817,0.0,0.0,0.0,0.0,67.0,0.0,11.0,0.4023772,0.1100663,0.57522696,-0.53002983,0.8326454,-0.64647037,0.94726384
53,0.0,84.0,-53.803757,0.4468052,0.0,0.0,0.0,0.0035484529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1397536,0.31850642,0.12212907,16.834553,0.010073214,0.17401445,0.17401445,0.0,0.0,0.0,0.0,77.0,0.9513044,4.0,0.99888873,0.3156507,0.13152221,-0.25,0.18375,-0.13147835,0.12285938
54,0.0,84.0,-83.665245,0.42397282,0.0,0.0,0.0,0.004184215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082518416,0.49456292,1.0340616,0.006037925,0.0034267243,1.4901163e-08,1.4499572e-08,0.0,0.0,0.0,0.0,70.0,0.0,8.0,0.9997707,-0.019182777,0.020438569,-0.5,0.27732334,-0.6637807,0.4936132
55,0.0,84.0,3.338502,1.5407795,0.0,0.0,0.0,0.52891505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8805552,0.097990535,0.57507646,0.578068,0.050775256,0.9551508,0.04406578,0.0,0.0,0.0,0.0,54.0,0.52317876,3.0,0.97715527,0.91926146,3.90373,0.010096448,0.18293987,-0.4282394,0.44402748
56,0.0,84.0,-104.13342,0.89036477,0.0,0.0,0.0,0.1718691,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46304578,0.82233816,0.9515588,1.4528292,1.008979,0.17345043,0.17345043,0.0,0.0,0.0,0.0,70.0,0.8276389,9.0,0.99999243,0.023330553,0.8066475,-0.76437116,1.5158762,-0.8058017,1.6403995
57,0.0,84.0,-21.37474,1.0509477,0.0,0.0,0.0,0.43296972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5957987,0.57509965,1.027373,3.014978,0.3980466,0.175182,0.175182,0.0,0.0,0.0,0.0,68.0,0.7131668,9.0,0.9376003,0.6467248,1.9903682,-0.3820134,0.47328904,-0.5806175,0.74644977
58,0.0,84.0,-70.2898,0.7032431,0.0,0.0,0.0,0.20708911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666746,0.8380169,1.059335,6.177316,3.5349329,0.16093652,0.16093652,0.0,0.0,0.0,0.0,76.0,0.845391,5.0,0.8642857,0.22906648,0.5619034,-0.44554108,0.9009885,-0.48028073,0.8908922
59,0.0,84.0,-58.954975,1.0096111,0.0,0.0,0.0,0.33131066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622711,0.47823334,0.8642981,3.0628738,3.0029354,0.119978584,0.119978584,0.0,0.0,0.0,0.0,69.0,0.8368811,7.0,0.97506857,0.3012812,0.78071153,-0.462561,0.5307605,-0.6373722,0.7513271
60,0.0,84.0,-94.06547,0.7495544,0.0,0.0,0.0,0.035864197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065021485,0.12580699,0.22468248,0.0,0.20325778,0.13191162,0.13191162,0.0,0.0,0.0,0.0,70.0,0.93886477,7.0,0.7418546,-0.018959435,0.13399933,-0.20154405,0.17892632,-0.33474365,0.30149946
61,0.0,84.0,-83.894264,0.7614204,0.0,0.0,0.0,0.17682907,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27153948,0.89559394,1.3677317,0.003966369,5.5426884,1.4901255e-08,1.1037057e-09,0.0,0.0,0.0,0.0,66.0,0.0,8.0,0.16303676,-0.04094412,0.3495497,-0.5,0.90555555,-0.6666667,1.5137037
62,0.0,84.0,-9.691356,1.1800338,0.0,0.0,0.0,0.5913857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909053,0.6993794,1.094111,0.13468099,0.42105946,0.21516955,0.19239277,0.0,0.0,0.0,0.0,62.0,0.619447,13.0,0.92060333,0.71552896,3.0092316,-0.43543842,0.7131183,-0.52236,0.7420954
63,0.7577128,84.0,-23.826382,1.1250472,0.0,0.0,0.0,0.4985222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54606444,0.52631605,1.1247215,0.34264585,0.15931912,0.17199333,0.17199333,0.0,0.0,0.0,0.0,67.0,0.709729,34.0,0.9275114,0.6211016,2.180782,-0.505237,0.59271425,-0.6435671,0.7350659
64,0.0,84.0,-83.19382,0.28595185,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008194426,0.4913889,1.0471882,0.0,8.82,1.4901193e-08,7.8667926e-11,0.0,0.0,0.0,0.0,78.0,0.9927801,2.0,0.0010510826,-0.012191623,0.0007855576,-0.5,0.25,-0.6666667,0.4722222
65,0.0,84.0,-86.6586,0.50115466,0.0,0.0,0.0,0.010576456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08995913,0.14404272,0.23504297,0.0,0.08948914,0.17907529,0.17907529,0.0,0.0,0.0,0.0,78.0,0.9663012,3.0,0.98931557,-0.0050855293,0.090025015,-0.09193411,0.15831529,-0.26872215,0.31729427
66,0.0,84.0,-71.89134,0.48075223,0.0,0.0,0.0,0.16906025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2870476,0.5328645,1.0615387,0.19125304,3.0497465,0.18338187,0.0,0.0,0.0,0.0,0.0,67.0,0.8915507,8.0,0.29855523,0.24391915,0.31083518,-0.5,0.645,-0.6333333,0.87277776
67,0.0,84.0,-45.81064,0.43464524,0.0,0.0,0.0,0.27521053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34834686,0.3969143,0.7828553,1.4086299,6.2430487,1.4901161e-08,2.8952554e-12,0.0,0.0,0.0,0.0,73.0,0.9175375,4.0,0.99155563,0.41015038,0.23052928,-0.125,0.2734375,-0.3888889,0.4675926
68,0.0,84.0,-5.225959,0.9678347,0.0,0.0,0.0,0.32345885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999265,0.2012464,0.61179274,0.64854836,0.12569003,0.4767712,0.08221006,0.0,0.0,0.0,0.0,67.0,0.6171739,13.0,0.9951474,0.8807625,2.604941,-0.25035614,0.44462034,-0.54171443,0.94211
69,0.0,84.0,-94.56916,0.958945,0.0,0.0,0.0,0.15424779,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557851,0.43807033,0.6880479,0.0031686341,1.4697728,0.10484195,0.10484195,0.0,0.0,0.0,0.0,65.0,0.86599165,9.0,0.971011,-0.03603034,0.40333733,-0.46330065,0.70322484,-0.70691407,1.0318353
