ts_id,COUNT(values),MAX(values.dim_0),MEAN(values.dim_0),MEDIAN(values.dim_0),MIN(values.dim_0),SKEW(values.dim_0),STD(values.dim_0),SUM(values.dim_0),MAX(values.AUTO_CORRELATION(dim_0) by ts_id),MAX(values.DERIVATIVE(dim_0) by ts_id),"MAX(values.DERIVATIVE(dim_0, order=2) by ts_id)",MAX(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MAX(values.INTEGRAL(dim_0) by ts_id),"MAX(values.INTEGRAL(dim_0, order=2) by ts_id)",MEAN(values.AUTO_CORRELATION(dim_0) by ts_id),MEAN(values.DERIVATIVE(dim_0) by ts_id),"MEAN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MEAN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MEAN(values.INTEGRAL(dim_0) by ts_id),"MEAN(values.INTEGRAL(dim_0, order=2) by ts_id)",MEDIAN(values.AUTO_CORRELATION(dim_0) by ts_id),MEDIAN(values.DERIVATIVE(dim_0) by ts_id),"MEDIAN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MEDIAN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MEDIAN(values.INTEGRAL(dim_0) by ts_id),"MEDIAN(values.INTEGRAL(dim_0, order=2) by ts_id)",MIN(values.AUTO_CORRELATION(dim_0) by ts_id),MIN(values.DERIVATIVE(dim_0) by ts_id),"MIN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MIN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MIN(values.INTEGRAL(dim_0) by ts_id),"MIN(values.INTEGRAL(dim_0, order=2) by ts_id)",SKEW(values.AUTO_CORRELATION(dim_0) by ts_id),SKEW(values.DERIVATIVE(dim_0) by ts_id),"SKEW(values.DERIVATIVE(dim_0, order=2) by ts_id)",SKEW(values.FOURRIER_TRANSFORM(dim_0) by ts_id),SKEW(values.INTEGRAL(dim_0) by ts_id),"SKEW(values.INTEGRAL(dim_0, order=2) by ts_id)",STD(values.AUTO_CORRELATION(dim_0) by ts_id),STD(values.DERIVATIVE(dim_0) by ts_id),"STD(values.DERIVATIVE(dim_0, order=2) by ts_id)",STD(values.FOURRIER_TRANSFORM(dim_0) by ts_id),STD(values.INTEGRAL(dim_0) by ts_id),"STD(values.INTEGRAL(dim_0, order=2) by ts_id)",SUM(values.AUTO_CORRELATION(dim_0) by ts_id),SUM(values.DERIVATIVE(dim_0) by ts_id),"SUM(values.DERIVATIVE(dim_0, order=2) by ts_id)",SUM(values.FOURRIER_TRANSFORM(dim_0) by ts_id),SUM(values.INTEGRAL(dim_0) by ts_id),"SUM(values.INTEGRAL(dim_0, order=2) by ts_id)"
10,84.0,41.0,0.97619045,0.0,0.0,7.8330803,4.6749167,82.0,1894.0,41.0,41.0,1.7599921,82.0,638.0,80.04762,0.072289154,0.048780486,0.25707942,7.595238,40.309525,0.0,0.0,0.0,0.07569819,0.0,0.0,0.0,-34.0,-75.0,0.0,0.0,0.0,6.1036644,1.5998329,-3.8892674,1.7525923,2.6649654,3.4850008,232.28996,6.070286,10.267896,0.33828542,20.338768,123.21487,6724.0,6.0,4.0,21.594671,638.0,3386.0
11,84.0,213.0,11.773809,0.0,0.0,3.6425307,35.589817,989.0,116775.0,213.0,329.0,249.91287,989.0,6206.0,11644.298,1.060241,-0.3292683,14.899476,73.88095,378.91666,88.0,0.0,0.0,0.42936283,0.0,0.0,0.0,-213.0,-426.0,0.0,0.0,0.0,2.4567456,0.2778046,-0.42372638,4.7082148,3.1972764,3.6454313,21706.717,39.537064,73.75938,36.936142,202.64233,1129.8538,978121.0,88.0,-27.0,1251.556,6206.0,31829.0
12,84.0,48.0,2.0119047,0.0,0.0,4.928603,7.9917035,169.0,5641.0,47.0,63.0,7.579164,169.0,910.0,340.0119,0.04819277,-0.25609756,0.7512738,10.833333,46.642857,0.0,0.0,0.0,0.06958881,0.0,0.0,0.0,-39.0,-86.0,0.0,0.0,0.0,3.9485781,1.1723915,-2.0952952,3.0623288,3.6192136,4.1141787,835.1969,9.068713,14.961523,1.333309,33.598564,154.03416,28561.0,4.0,-21.0,63.107002,910.0,3918.0
13,84.0,65.0,5.321429,0.0,0.0,2.792157,13.009876,447.0,16427.0,36.0,82.0,48.9045,447.0,3499.0,2378.6785,0.0,-0.47560975,1.9909753,41.654762,255.11905,390.0,0.0,0.0,0.020062523,0.0,0.0,0.0,-46.0,-80.0,0.0,0.0,0.0,1.8101993,-0.9518171,-0.26419428,5.561841,2.843211,3.2583797,3830.9744,9.914267,16.561316,6.745004,102.205025,681.5489,199809.0,0.0,-39.0,167.24193,3499.0,21430.0
14,84.0,2.0,0.05952381,0.0,0.0,5.608737,0.32380235,5.0,9.0,2.0,2.0,0.006582192,5.0,42.0,0.29761904,0.0,0.0,0.0012333306,0.5,2.7380953,0.0,0.0,0.0,1.6643553e-05,0.0,0.0,0.0,-2.0,-4.0,0.0,0.0,0.0,5.419264,-1.0628188,-2.5991714,1.4554956,2.5377765,3.344793,1.2101953,0.41319692,0.6849349,0.0018445407,1.3125896,8.281376,25.0,0.0,0.0,0.10359977,42.0,230.0
15,84.0,1.0,0.011904762,0.0,0.0,9.165152,0.10910895,1.0,1.0,1.0,1.0,0.00028344672,1.0,12.0,0.011904762,0.0,0.0,0.00014003618,0.14285715,0.9285714,0.0,0.0,0.0,7.086168e-05,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,9.165152,0.0,-3.7660904,0.024245033,2.078544,2.9635851,0.10910895,0.15617377,0.27216554,0.00014171319,0.3520288,2.6379333,1.0,0.0,0.0,0.011763038,12.0,78.0
16,84.0,540.0,29.154762,0.0,0.0,3.776077,92.251945,2449.0,777765.0,540.0,839.0,1502.8674,2449.0,15329.0,71400.016,6.506024,6.585366,100.10841,182.4881,985.9762,4137.0,0.0,0.0,0.1434949,0.0,0.0,0.0,-384.0,-768.0,0.0,0.0,0.0,2.796392,1.3307738,1.3335699,4.086774,3.091151,3.4980416,135083.31,105.403336,179.90848,226.7847,483.09912,2854.7573,5997601.0,540.0,540.0,8409.107,15329.0,82822.0
17,84.0,4.0,0.16666667,0.0,0.0,4.2840137,0.65552944,14.0,38.0,3.0,5.0,0.0536426,14.0,50.0,2.3333333,0.04819277,0.024390243,0.0050548,0.5952381,1.8809524,0.0,0.0,0.0,0.00018110084,0.0,0.0,0.0,-2.0,-4.0,0.0,0.0,0.0,3.5073595,2.2761903,0.2859048,3.2848775,4.433079,4.84354,6.064579,0.5823337,1.0420257,0.009896147,2.2014182,7.5735826,196.0,4.0,2.0,0.42460316,50.0,158.0
18,84.0,5.0,0.27380952,0.0,0.0,3.7320983,0.88291943,23.0,71.0,5.0,9.0,0.1228966,23.0,187.0,6.297619,0.024096385,-0.036585364,0.009169838,2.2261906,14.904762,0.0,0.0,0.0,0.00010865054,0.0,0.0,0.0,-4.0,-8.0,0.0,0.0,0.0,2.956924,0.7921819,-0.54103935,3.712862,2.4042935,2.9068403,11.100613,1.125924,2.0694432,0.018181069,5.0809145,39.00745,529.0,2.0,-3.0,0.7702664,187.0,1252.0
19,84.0,7324.0,737.0595,0.0,0.0,2.4235358,1653.7242,61913.0,272622270.0,4523.0,6451.0,921938.4,61913.0,498776.0,45612690.0,55.60241,-1.6585366,32169.602,5937.8096,38036.953,5987547.0,0.0,0.0,387.01593,16.0,276.0,6167.0,-4184.0,-8707.0,0.0,0.0,0.0,1.491486,0.19292636,-1.0446297,6.0829797,2.6510363,3.1391249,68475730.0,1004.3797,1540.9911,121525.39,14076.156,99632.36,3831465700.0,4615.0,-136.0,2702246.5,498776.0,3195104.0
20,84.0,16.0,0.53571427,0.0,0.0,5.636409,2.0967355,45.0,389.0,16.0,16.0,0.532973,45.0,297.0,24.107143,0.072289154,0.07317073,0.05171384,3.5357144,17.130953,0.0,0.0,0.0,0.005120221,0.0,0.0,0.0,-13.0,-29.0,0.0,0.0,0.0,3.744475,1.6597003,-3.02834,3.2058325,2.9586391,3.7932522,58.004574,2.4731886,4.2215805,0.09273376,10.179647,54.065952,2025.0,6.0,6.0,4.3439627,297.0,1439.0
21,84.0,3.0,0.0952381,0.0,0.0,5.577731,0.4814398,8.0,20.0,3.0,4.0,0.014225757,8.0,87.0,0.7619048,0.036144577,0.036585364,0.0027264873,1.0357143,9.011905,0.0,0.0,0.0,2.7431828e-05,0.0,0.0,0.0,-3.0,-6.0,0.0,0.0,0.0,5.4410505,1.277924,-1.5201166,1.4004645,1.6520652,2.3791406,2.6599169,0.61378044,0.99932224,0.004004653,2.0502508,21.069874,64.0,3.0,3.0,0.22902495,87.0,757.0
22,84.0,6.0,0.21428572,0.0,0.0,4.972475,0.8512419,18.0,64.0,6.0,6.0,0.062000804,18.0,149.0,3.857143,0.072289154,0.07317073,0.008523648,1.7738096,16.333334,0.0,0.0,0.0,0.00042517006,0.0,0.0,0.0,-3.0,-6.0,0.0,0.0,0.0,4.7202296,2.103284,0.029488215,1.783623,2.628964,2.4318368,8.501088,1.021514,1.5852755,0.013048774,3.5239327,32.42613,324.0,6.0,6.0,0.7159864,149.0,1372.0
23,84.0,249.0,24.464285,0.0,0.0,2.464992,56.395218,2055.0,314249.0,98.0,209.0,1033.5707,2055.0,14383.0,50274.105,2.3253012,-0.37804878,37.411407,171.2262,1007.369,4521.0,0.0,0.0,0.08731856,0.0,0.0,0.0,-111.0,-122.0,0.0,0.0,0.0,1.6937315,0.16975202,1.1976796,5.75902,2.9427807,3.300551,78922.914,23.399557,38.57065,139.99936,428.79602,2763.051,4223025.0,193.0,-31.0,3142.5583,14383.0,84619.0
24,84.0,20.0,1.9285715,0.0,0.0,2.4112692,4.4850106,162.0,1982.0,18.0,29.0,5.9321494,162.0,1367.0,312.42856,0.24096386,0.09756097,0.23661727,16.27381,116.333336,55.0,0.0,0.0,1.7888003e-33,0.0,0.0,0.0,-18.0,-36.0,0.0,0.0,0.0,1.5211154,0.38984507,-0.5911532,6.246439,2.521222,2.9004686,426.75528,4.1396074,7.481021,0.74691194,35.985725,283.35657,26244.0,20.0,8.0,19.87585,1367.0,9772.0
25,84.0,471.0,18.404762,0.0,0.0,5.3586535,68.51103,1546.0,418036.0,471.0,839.0,579.633,1546.0,10336.0,28349.834,0.0,-5.743902,55.212902,123.04762,772.3214,3859.0,0.0,0.0,0.6855706,3.0,54.5,0.0,-471.0,-942.0,0.0,0.0,0.0,4.236623,-0.0016704521,-1.2663755,2.9365644,3.2627835,3.295151,60069.664,96.70524,173.90062,95.0194,311.5542,1945.966,2381386.0,0.0,-471.0,4637.884,10336.0,64875.0
26,84.0,12.0,0.5833333,0.0,0.0,3.9841075,1.9088149,49.0,331.0,9.0,17.0,0.59837896,49.0,523.0,28.583334,0.0,-0.0121951215,0.042859506,6.2261906,43.142857,0.0,0.0,0.0,4.656758e-05,0.0,0.0,0.0,-12.0,-21.0,0.0,0.0,0.0,2.9370224,-0.8729454,-0.7404244,3.6059072,2.2982764,2.9779072,57.539764,2.5230644,4.587944,0.096500166,13.968425,110.859634,2401.0,0.0,-1.0,3.6001985,523.0,3624.0
27,84.0,23.0,1.1547619,0.0,0.0,4.354813,3.989426,97.0,1433.0,23.0,36.0,2.3005042,97.0,580.0,112.0119,0.27710843,0.2804878,0.18721487,6.904762,39.464287,0.0,0.0,0.0,0.0006377551,0.0,0.0,0.0,-13.0,-31.0,0.0,0.0,0.0,3.353182,2.4497461,1.122529,3.2642055,3.3182142,3.364199,227.26157,4.5540476,7.590238,0.372568,17.998405,108.2196,9409.0,23.0,23.0,15.726048,580.0,3315.0
28,84.0,35.0,2.7380953,0.0,0.0,2.8308213,6.4939623,230.0,4130.0,25.0,34.0,12.401112,230.0,1892.0,629.7619,0.19277108,-0.23170732,0.4960655,22.52381,149.75,34.0,0.0,0.0,0.009605424,0.0,0.0,0.0,-25.0,-50.0,0.0,0.0,0.0,1.487414,-0.36598897,-1.2899547,6.301001,2.5178177,2.9861574,892.1363,5.933489,10.185076,1.5609374,51.490433,388.27518,52900.0,16.0,-19.0,41.669502,1892.0,12579.0
29,84.0,201.0,9.761905,0.0,0.0,4.308259,29.574745,820.0,80602.0,201.0,288.0,166.8186,820.0,5641.0,8004.7617,0.90361446,0.24390244,10.288724,67.15476,383.7143,959.0,0.0,0.0,0.20763548,0.0,0.0,0.0,-201.0,-402.0,0.0,0.0,0.0,2.6465857,0.03555127,-0.84532255,4.323346,3.0552225,3.4343033,14690.916,35.834858,67.17888,24.913786,173.76529,1061.1505,672400.0,75.0,20.0,864.2528,5641.0,32232.0
30,84.0,107.0,6.535714,0.0,0.0,3.5024111,20.135952,549.0,37241.0,37.0,52.0,80.42182,549.0,2566.0,3588.1072,0.8313253,0.085365854,4.769401,30.547619,123.17857,69.0,0.0,0.0,0.031732228,0.0,0.0,0.0,-45.0,-59.0,0.0,0.0,0.0,2.7431562,-0.41125867,-0.8350703,3.8819344,3.9600563,4.350521,8154.4355,8.512285,12.377998,14.18996,99.67531,416.78558,301401.0,69.0,7.0,400.62967,2566.0,10347.0
31,84.0,8578.0,1014.2262,0.0,0.0,2.323954,2212.352,85195.0,492650620.0,3646.0,8592.0,1742643.1,85195.0,654315.0,86403624.0,77.084335,-1.8414634,57574.21,7789.4644,49005.51,10880584.0,0.0,0.0,417.5251,2.0,30.0,1266.0,-4946.0,-7059.0,0.0,0.0,0.0,1.6254655,-1.5291629,1.309213,5.9008517,2.7978415,3.169991,130367060.0,819.94073,1384.2179,232355.17,18713.156,128974.25,7257904000.0,6398.0,-151.0,4836233.5,654315.0,4116463.0
32,84.0,8.0,0.26190478,0.0,0.0,5.233244,1.1419604,22.0,114.0,8.0,9.0,0.12849408,22.0,114.0,5.7619047,0.0,-0.06097561,0.015339866,1.3571428,5.7380953,0.0,0.0,0.0,0.0005450988,0.0,0.0,0.0,-6.0,-14.0,0.0,0.0,0.0,4.399906,0.78685766,-1.4655825,2.3589153,3.8293047,4.1633487,16.340223,1.4650397,2.6168852,0.025247082,4.281208,19.034603,484.0,0.0,-5.0,1.2885487,114.0,482.0
33,84.0,43.0,5.5119047,0.0,0.0,2.0395741,11.053533,463.0,12693.0,29.0,50.0,46.46167,463.0,5138.0,2552.012,0.20481928,0.1097561,1.4372149,61.166668,505.7381,858.0,0.0,0.0,0.0018424037,0.0,0.0,0.0,-24.0,-53.0,0.0,0.0,0.0,1.296014,0.724815,-0.29982758,6.7070146,2.1728516,2.6485548,3217.1243,9.39351,16.842045,5.730042,122.75343,1133.1548,214369.0,17.0,9.0,120.72605,5138.0,42482.0
34,84.0,1.0,0.035714287,0.0,0.0,5.095142,0.18669146,3.0,3.0,1.0,1.0,0.0025100366,3.0,40.0,0.10714286,0.0,0.0,0.00040998543,0.47619048,3.4642856,0.0,0.0,0.0,3.797466e-05,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,5.037844,0.0,-1.7503207,1.6566052,1.8759674,2.7596855,0.41122377,0.22086306,0.3513642,0.00063266646,1.0582571,9.144682,9.0,0.0,0.0,0.034438774,40.0,291.0
35,84.0,20341.0,1674.2858,0.0,0.0,2.9980736,5001.013,140640.0,2311312400.0,16894.0,36761.0,5116781.0,140640.0,801752.0,235425600.0,216.71085,-16.40244,294195.12,9544.667,46128.117,10317238.0,0.0,0.0,10390.041,15.0,273.5,20600.0,-20341.0,-32840.0,0.0,0.0,0.0,2.2747543,-0.03971794,0.9628719,4.7569757,3.3299427,3.7861602,448783000.0,4353.573,7759.431,769331.4,27268.258,142268.31,19775750000.0,17987.0,-1345.0,24712392.0,801752.0,3874762.0
36,84.0,36.0,2.7380953,0.0,0.0,3.1449232,6.176362,230.0,3796.0,36.0,57.0,10.60627,230.0,3420.0,629.7619,0.012048192,0.0,0.4487299,40.714287,405.14285,482.0,0.0,0.0,0.023158893,0.0,0.0,0.0,-36.0,-72.0,0.0,0.0,0.0,1.3930072,-0.18729801,-1.0186864,6.995095,1.6317121,2.2336566,718.8136,7.477599,13.289743,1.2355118,70.60642,832.23444,52900.0,1.0,0.0,37.69331,3420.0,34032.0
37,84.0,20.0,1.2619047,0.0,0.0,3.4042485,3.890424,106.0,1390.0,20.0,23.0,2.76481,106.0,1012.0,133.7619,0.12048193,0.12195122,0.17803828,12.047619,79.25,0.0,0.0,0.0,0.017998867,0.0,0.0,0.0,-20.0,-40.0,0.0,0.0,0.0,2.5705848,-0.19121565,-1.8372775,5.0044327,2.2068253,2.9772336,226.22426,4.4540954,7.3642282,0.37490678,27.629173,213.75563,11236.0,10.0,10.0,14.955215,1012.0,6657.0
38,84.0,83.0,3.25,0.0,0.0,5.6798325,10.615827,273.0,10241.0,57.0,48.0,17.281292,273.0,1607.0,887.25,1.0,0.69512194,1.3256449,19.130953,128.67857,201.0,0.0,0.0,0.10853458,0.0,0.0,0.0,-13.0,-27.0,0.0,0.0,0.0,3.3219478,5.0087867,1.4525963,4.110784,3.415124,3.0824752,1557.4924,7.7238936,9.73436,2.5305376,46.72833,308.3324,74529.0,83.0,57.0,111.354164,1607.0,10809.0
39,84.0,1.0,0.011904762,0.0,0.0,9.165152,0.10910895,1.0,1.0,1.0,1.0,0.00028344672,1.0,19.0,0.011904762,0.0,0.0,0.00014003618,0.22619048,2.2619047,0.0,0.0,0.0,7.086168e-05,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,9.165152,0.0,-3.7660904,0.024245033,1.3328743,2.1553864,0.10910895,0.15617377,0.27216554,0.00014171319,0.42087662,4.957941,1.0,0.0,0.0,0.011763038,19.0,190.0
40,84.0,1.0,0.035714287,0.0,0.0,5.095142,0.18669146,3.0,3.0,1.0,1.0,0.0024021454,3.0,27.0,0.10714286,0.0,0.0,0.00040998543,0.32142857,2.047619,0.0,0.0,0.0,1.2228127e-35,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,5.037844,0.0,-1.7503207,1.6566052,2.658503,3.1001704,0.41122377,0.22086306,0.3513642,0.00063266646,0.7786413,5.4571824,9.0,0.0,0.0,0.034438774,27.0,172.0
41,84.0,401.0,47.95238,0.0,0.0,2.050067,89.200455,4028.0,853560.0,161.0,283.0,3338.8118,4028.0,40829.0,193072.89,3.9518073,0.91463417,93.595215,486.0595,4064.488,94099.0,0.0,0.0,0.81587917,1.0,19.5,24.0,-148.0,-309.0,0.0,0.0,0.0,1.0431272,0.66751057,0.09057419,7.3041744,2.1533558,2.542625,219599.95,43.152,75.13333,392.09848,959.6239,9088.44,16218123.0,328.0,75.0,7861.9976,40829.0,341417.0
42,84.0,143.0,7.904762,0.0,0.0,4.2850604,24.605131,664.0,55498.0,143.0,278.0,88.42941,664.0,5656.0,5137.845,0.6385542,-1.097561,7.1214905,67.333336,674.9048,2557.0,0.0,0.0,0.09637188,9.0,140.5,68.0,-135.0,-270.0,0.0,0.0,0.0,3.4366615,0.6503473,-0.59581053,3.676877,2.8746853,2.4449675,8260.3125,30.991179,56.61405,13.252439,133.57065,1193.67,431579.0,53.0,-90.0,598.2052,5656.0,56692.0
43,84.0,240.0,22.202381,0.0,0.0,2.492701,51.886757,1865.0,264863.0,141.0,242.0,862.09357,1865.0,13936.0,41407.44,2.8915663,1.7195122,31.66887,165.90475,971.5833,2015.0,0.0,0.0,0.35631698,0.0,0.0,0.0,-125.0,-223.0,0.0,0.0,0.0,1.489114,1.1245116,-0.21880727,5.9341106,2.691311,3.288037,65585.78,35.891438,59.472637,116.1884,412.43622,2727.4246,3478225.0,240.0,141.0,2660.1853,13936.0,81613.0
44,84.0,24.0,2.4166667,0.0,0.0,2.587784,4.7267714,203.0,2345.0,24.0,27.0,6.481595,203.0,2822.0,437.2976,0.10843374,-0.07317073,0.26281416,33.595238,503.9643,206.0,0.0,0.0,0.0017715419,16.0,262.0,9.0,-19.0,-43.0,0.0,0.0,0.0,1.2785196,0.8064343,-1.1658032,6.268963,2.0405455,1.7907609,510.59305,4.9089565,8.744353,0.82665634,49.29775,670.6224,36733.0,9.0,-6.0,22.07639,2822.0,42333.0
